comment,likes,dislikes,-3.16476047039032,
6.25참전용사분들 비하하는 말은 찐따가 아니라 찐빠입니다... 찐따도 좋은 말은 아니지만 이왕 아는거 정확히 알아야죠? 참 정확한 정보인줄도 확인도 안하고 웹툰에 그린게 잘몰이죠,52603,3070,-4.273672103881836,0.0
베댓저거 내일에서 보고왔네 ㅋㅋㅋㅋ,31491,809,-2.7315402030944824,3.0
"베댓님 일요웹툰보고 오셨나봐요
저도 알고 이젠 쓰기 꺼려져요",18618,828,-3.4122681617736816,2.0
"왜 언급이 없죠?
.
. 작가님
??1등 축하드려요??",16370,437,-4.615765810012817,5.0
찐따나 찐빠나 일단 나쁜말임,12793,395,3.181183934211731,0.0
찐따라는 단어가 안좋은건 알겠는데 굳이 욕을 쓰면서 말해야 되나요,12881,602,-4.491954743862152,0.0
근데 찐따얘기는 갑자기 왜나옹거??,9417,266,4.357538223266602,-3.0
베댓 다 찐따 관련 얘기밖에 없네 웹툰 얘기 좀 베댓으로 올리면 안 되나,7108,257,-3.3041390776634216,0.0
이거보려고 공부안하고 기다리고있었다 ㅋㅋㅋㅋㅋ,7021,464,3.6545410752296448,4.0
아니 지들도 찐따 찐따 거리면서 태세변환보소 거의 우디르급,5041,357,-4.179384112358093,0.0
여기서 찐따란 단어 살면서 한번도 안써본 사람이 있을까...?,5149,504,-3.5290712118148804,0.0
"키리토야 왜 니댓글에 싫어요 박히는줄 아니?
난 팩트만 말한다
니글이 다른사람들 다아는 애기라 그런거임",2845,304,-4.381328523159027,0.0
키리토 뭔 알아냈다는 듯이 이야기하는데 당연한거 얘기하고있음,2232,150,3.171258866786957,0.0
근데 ㄹㅇ 이거 베도때랑 내용도 거의 비슷하고 퀄리티도 비슷한데 다른 웹툰보다 늦게 올라오는 이유가 뭐임?,468,119,4.244842529296875,-2.0
??잠깐 나갔다오는데 뭐하러 불편하게 몇십분동안 화장을해요....,77,7,-4.706627428531647,-3.0
