comment,likes,dislikes,-3.16476047039032,
아이고 얼굴로만 살면 안되는걸알지만..현실인걸어떻게해 못생기거나 뚱뚱하면 사회에서 버림같은거나 받고 ..하ㅠㅠㅠ,58032,1008,-2.575245499610901,2.0
그런데 피부에 트러블 많이 나있어도 화장하면 다 커버가 돼요?,38139,2710,-3.8954123854637146,0.0
항상 같은 패턴 못생긴 사람 찐따,34269,1735,-2.7416908740997314,-4.0
화요 웹툰에 갑자기 신작들 엄청 집어넣네. 다 인기 많았던 걸로만 ㅋㅋ 원래 화요일 웹툰에 이용자가 그렇게 적었나,22335,451,-4.830228090286255,2.0
이게 옆동네 그것보다 외모지상주의를 더 잘 비판하는듯,19299,1262,-3.703138828277588,4.0
눈썹 정리 해드리고 싶다...데헷☆,13461,392,4.700130224227905,0.0
"못생긴 사람들이 찐따인게 아니라 사회 분위기 때문에 차별받는게 당연해지니까 자신감 자존감 있는대로 떨어지고 성격도 소심해지는 경우가 많은거다. 나름대로 열심히 알아보고 꾸며봤자 호박에 줄긋는다고 수박되냐는 말이나 듣는데 솔직히 열심히 살 의욕이 생기겠냐? 외모가 사람의 가치를 정하는, 아니 정확히 말하면 낮은 사람과 높은 사람의 '급'을 나누는 중요한 기준이 되어버려서 너무 안타까울 뿐이다. 아름다움에 끌리는거? 그래 그거 당연한거지. 옛날부터 그랬던 거니까. 근데 아름답게 태어난게 행운일지언정 못나게 태어난게 불행은 되면 안되는거 아니냐?",13014,271,-3.9777934551239014,1.0
"전화 에필로그는 21살이고, 이번화는 중3 때 얘기니까 눈썹이 다르죠..ㅎ 21살때는 눈썹정리를 한 상태겠죠?",9295,168,3.441535234451294,2.0
"화장 지운것도 이쁜것 같다
그냥 형체가 이쁨
눈코입 비율이 잘어울려.....
암튼 나보더 예쁨",5947,470,-2.705286741256714,3.0
"만화 패턴이라기 보단 현실인거.
만화가가 이런 묘사 하는걸 막기 보단 현실에서 못생긴 사람 따 시키는걸 바꿔야지.",4847,164,-3.7599506974220276,1.0
분명 에필로그 쌩얼은 눈썹이 없었는데 지금은 눈썹이 숯검댕이가 됬네,5430,1385,4.288584589958191,-1.0
신작이라고 별점테러하는것들 진짜 한심하다,3796,247,-4.934732913970947,3.0
안녕하세요님 결국 외모지상주의 전개가 됐습니다 개판이에요,140,6,-4.984631836414337,-5.0
여강 이때 진짜 재밌었는데,59,1,4.800116717815399,-3.0
이때만해도 잼났는데... 나라도 초심잡으려고 다시와봄,22,0,4.868075251579285,-3.0
